Oil_Price,Imports,Production,GDP,SP500,Stock_value,Treasury_note, Y_n_1,Y_n_2
-0.737361542,0.7848777,-0.672123082,-0.378957313,0.464723789,-0.723442875,-0.19893006,-0.651760424,-0.621165523
-0.655769144,0.944060704,-0.739550462,-0.395001595,0.281170672,-0.823897893,-0.25879419,-0.624932701,-0.662652279
-0.628899359,0.086016206,-0.837256651,-0.392327548,0.258144295,-0.86224268,-0.306685494,-0.666482955,-0.709039045
-0.670514758,0.954768935,-0.387896323,-0.403023736,0.431828965,-0.941700887,-0.0792018,-0.71294072,-0.756405814
-0.717045362,0.651296607,-0.424059797,-0.392327548,0.493013338,-1.001666627,0.154268306,-0.760379987,-0.706752374
-0.764559007,0.515677144,-0.469244697,-0.411045877,0.852224816,-1.034682192,0.327874283,-0.710650548,-0.734845767
-0.7147516,0.768652286,-0.300092963,-0.429764205,1.081830687,-1.117805239,0.471548195,-0.738786941,-0.788745883
-0.742932107,0.49681544,-0.500327138,-0.429764205,1.239725842,-1.190061796,0.489507434,-0.792769555,-0.913206151
-0.796999358,0.327141631,-0.315569375,-0.440460393,1.430515821,-1.27417707,0.549371564,-0.917420318,-0.945872888
-0.921845557,-0.425342548,-0.776854576,-0.459178722,1.289725975,-1.298742699,0.315901457,-0.950137054,-0.956652911
-0.954613588,0.250607682,-0.325524052,-0.448482534,1.394989411,-1.384426333,0.393724826,-0.960933577,-0.948486227
-0.965427038,0.360815482,-0.314247269,-0.461852769,1.408147341,-1.454138306,0.423656891,-0.952754393,-0.865839382
-0.95723503,0.512307041,-0.471603748,-0.50463752,1.227225809,-1.500805,0.172227545,-0.869981051,-0.734192433
-0.874331912,0.673664306,-0.427844648,-0.491267285,0.970646182,-1.534668759,0.112363415,-0.738132606,-0.695972351
-0.742276746,0.528287852,-0.605654876,-0.523355849,0.785119375,-1.541854406,0.208146023,-0.699854026,-0.726679083
-0.70393815,0.818768977,-0.444461699,-0.477897051,0.84761954,-1.558274168,0.351819935,-0.730607757,-0.688459001
-0.734740099,0.961645032,-0.425796681,-0.50463752,0.690382282,-1.558274168,0.513453086,-0.692329176,-0.654812262
-0.696401503,0.337442188,-0.561480998,-0.50463752,0.572618812,-1.56569987,0.537398738,-0.658630939,-0.692052342
-0.662650431,1.242206096,-0.360883893,-0.491267285,0.464065893,-1.56569987,0.609235694,-0.695928017,-0.699892359
-0.700005986,1.157138176,-0.486172832,-0.512659661,0.196959922,-1.580423243,0.453588956,-0.703780034,-0.62279886
-0.707870314,1.003934387,-0.319976393,-0.534052037,0.074591177,-1.581383463,0.303928631,-0.626568538,-0.623452195
